DexNum,Name,Type1,Type2,HP,Att,Def,SpAtt,SpDef,Spd
81,Magnemite,Electric,Steel,25,35,70,95,55,45
82,Magneton,Electric,Steel,50,60,95,120,70,70
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60
84,Doduo,Normal,Flying,35,85,45,35,35,75
85,Dodrio,Normal,Flying,60,110,70,60,60,100
86,Seel,Water,none,65,45,55,45,70,45
87,Dewgong,Water,Ice,90,70,80,70,95,70
88,Grimer,Poison,none,80,80,50,40,50,25
89,Muk,Poison,none,105,105,75,65,100,50
90,Shellder,Water,none,30,65,100,45,25,40
91,Cloyster,Water,Ice,50,95,180,85,45,70
92,Gastly,Ghost,Poison,30,35,30,100,35,80
93,Haunter,Ghost,Poison,45,50,45,115,55,95
94,Gengar,Ghost,Poison,60,65,60,130,75,110
95,Onix,Rock,Ground,35,45,160,30,45,70
96,Drowzee,Psychic,none,60,48,45,43,90,42
97,Hypno,Psychic,none,85,73,70,73,115,67
98,Krabby,Water,none,30,105,90,25,25,50
99,Kingler,Water,none,55,130,115,50,50,75
100,Voltorb,Electric,none,40,30,50,55,55,100
101,Electrode,Electric,none,60,50,70,80,80,140
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55
104,Cubone,Ground,none,50,50,95,40,50,35
105,Marowak,Ground,none,60,80,110,50,80,45
106,Hitmonlee,Fighting,none,50,120,53,35,110,87
107,Hitmonchan,Fighting,none,50,105,79,35,110,76
108,Lickitung,Normal,none,90,55,75,60,75,30
109,Koffing,Poison,none,40,65,95,60,45,35
110,Weezing,Poison,none,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25
112,Rhydon,Ground,Rock,105,130,120,45,45,40
113,Chansey,Normal,none,250,5,5,35,105,50
114,Tangela,Grass,none,65,55,115,100,40,60
115,Kangaskhan,Normal,none,105,95,80,40,80,90
116,Horsea,Water,none,30,40,70,70,25,60
117,Seadra,Water,none,55,65,95,95,45,85
118,Goldeen,Water,none,45,67,60,35,50,63
119,Seaking,Water,none,80,92,65,65,80,68
120,Staryu,Water,none,30,45,55,70,55,85
121,Starmie,Water,Psychic,60,75,85,100,85,115
122,Mr. Mime,Psychic,none,40,45,65,100,120,90
123,Scyther,Bug,Flying,70,110,80,55,80,105
124,Jynx,Ice,Psychic,65,50,35,115,95,95
125,Electabuzz,Electric,none,65,83,57,95,85,105
126,Magmar,Fire,none,65,95,57,100,85,93
127,Pinsir,Bug,none,65,125,100,55,70,85
128,Tauros,Normal,none,75,100,95,40,70,110
129,Magikarp,Water,none,20,10,55,15,20,80
130,Gyarados,Water,Flying,95,125,79,60,100,81
131,Lapras,Water,Ice,130,85,80,85,95,60
132,Ditto,Normal,none,48,48,48,48,48,48
133,Eevee,Normal,none,55,55,50,45,65,55
134,Vaporeon,Water,none,130,65,60,110,95,65
135,Jolteon,Electric,none,65,65,60,110,95,130
136,Flareon,Fire,none,65,130,60,95,110,65
137,Porygon,Normal,none,65,60,70,85,75,40
138,Omanyte,Rock,Water,35,40,100,90,55,35
139,Omastar,Rock,Water,70,60,125,115,70,55
140,Kabuto,Rock,Water,30,80,90,55,45,55
141,Kabutops,Rock,Water,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130
143,Snorlax,Normal,none,160,110,65,65,110,30
144,Articuno,Ice,Flying,90,85,100,95,125,85
145,Zapdos,Electric,Flying,90,90,85,125,90,100
146,Moltres,Fire,Flying,90,100,90,125,85,90
147,Dratini,Dragon,none,41,64,45,50,50,50
148,Dragonair,Dragon,none,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,91,134,95,100,100,80
150,Mewtwo,Psychic,none,106,110,90,154,90,130
151,Mew,Psychic,none,100,100,100,100,100,100
152,Chikorita,Grass,none,45,49,65,49,65,45
153,Bayleef,Grass,none,60,62,80,63,80,60
154,Meganium,Grass,none,80,82,100,83,100,80
155,Cyndaquil,Fire,none,39,52,43,60,50,65
156,Quilava,Fire,none,58,64,58,80,65,80
157,Typhlosion,Fire,none,78,84,78,109,85,100
158,Totodile,Water,none,50,65,64,44,48,43
159,Croconaw,Water,none,65,80,80,59,63,58
160,Feraligatr,Water,none,85,105,100,79,83,78
161,Sentret,Normal,none,35,46,34,35,45,20
162,Furret,Normal,none,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,60,30,30,36,56,50
164,Noctowl,Normal,Flying,100,50,50,76,96,70
165,Ledyba,Bug,Flying,40,20,30,40,80,55
166,Ledian,Bug,Flying,55,35,50,55,110,85
167,Spinarak,Bug,Poison,40,60,40,40,40,30
168,Ariados,Bug,Poison,70,90,70,60,60,40
169,Crobat,Poison,Flying,85,90,80,70,80,130
170,Chinchou,Water,Electric,75,38,38,56,56,67
171,Lanturn,Water,Electric,125,58,58,76,76,67
172,Pichu,Electric,none,20,40,15,35,35,60
173,Cleffa,Normal,none,50,25,28,45,55,15
174,Igglybuff,Normal,none,90,30,15,40,20,15
175,Togepi,Normal,none,35,20,65,40,65,20
176,Togetic,Normal,Flying,55,40,85,80,105,40
177,Natu,Psychic,Flying,40,50,45,70,45,70
178,Xatu,Psychic,Flying,65,75,70,95,70,95
179,Mareep,Electric,none,55,40,40,65,45,35
180,Flaaffy,Electric,none,70,55,55,80,60,45
181,Ampharos,Electric,none,90,75,75,115,90,55
182,Bellossom,Grass,none,75,80,85,90,100,50
183,Marill,Water,none,70,20,50,20,50,40
184,Azumarill,Water,none,100,50,80,50,80,50
185,Sudowoodo,Rock,none,70,100,115,30,65,30
186,Politoed,Water,none,90,75,75,90,100,70
187,Hoppip,Grass,Flying,35,35,40,35,55,50
188,Skiploom,Grass,Flying,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,75,55,70,55,85,110
190,Aipom,Normal,none,55,70,55,40,55,85
191,Sunkern,Grass,none,30,30,30,30,30,30
192,Sunflora,Grass,none,75,75,55,105,85,30
193,Yanma,Bug,Flying,65,65,45,75,45,95
194,Wooper,Water,Ground,55,45,45,25,25,15
195,Quagsire,Water,Ground,95,85,85,65,65,35
196,Espeon,Psychic,none,65,65,60,130,95,110
197,Umbreon,Dark,none,95,65,110,60,130,65
198,Murkrow,Dark,Flying,60,85,42,85,42,91
199,Slowking,Water,Psychic,95,75,80,100,110,30
200,Misdreavus,Ghost,none,60,60,60,85,85,85
201,Unown,Psychic,none,48,72,48,72,48,48
202,Wobbuffet,Psychic,none,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,70,80,65,90,65,85
204,Pineco,Bug,none,50,65,90,35,35,15
205,Forretress,Bug,Steel,75,90,140,60,60,40
206,Dunsparce,Normal,none,100,70,70,65,65,45
207,Gligar,Ground,Flying,65,75,105,35,65,85
208,Steelix,Steel,Ground,75,85,200,55,65,30
209,Snubbull,Normal,none,60,80,50,40,40,30
210,Granbull,Normal,none,90,120,75,60,60,45
211,Qwilfish,Water,Poison,65,95,75,55,55,85
212,Scizor,Bug,Steel,70,130,100,55,80,65
213,Shuckle,Bug,Rock,20,10,230,10,230,5
214,Heracross,Bug,Fighting,80,125,75,40,95,85
215,Sneasel,Dark,Ice,55,95,55,35,75,115
216,Teddiursa,Normal,none,60,80,50,50,50,40
217,Ursaring,Normal,none,90,130,75,75,75,55
218,Slugma,Fire,none,40,40,40,70,40,20
219,Magcargo,Fire,Rock,50,50,120,80,80,30
220,Swinub,Ice,Ground,50,50,40,30,30,50
221,Piloswine,Ice,Ground,100,100,80,60,60,50
222,Corsola,Water,Rock,55,55,85,65,85,35
223,Remoraid,Water,none,35,65,35,65,35,65
224,Octillery,Water,none,75,105,75,105,75,45
225,Delibird,Ice,Flying,45,55,45,65,45,75
226,Mantine,Water,Flying,65,40,70,80,140,70
227,Skarmory,Steel,Flying,65,80,140,40,70,70
228,Houndour,Dark,Fire,45,60,30,80,50,65
229,Houndoom,Dark,Fire,75,90,50,110,80,95
230,Kingdra,Water,Dragon,75,95,95,95,95,85
231,Phanpy,Ground,none,90,60,60,40,40,40
232,Donphan,Ground,none,90,120,120,60,60,50
233,Porygon2,Normal,none,85,80,90,105,95,60
234,Stantler,Normal,none,73,95,62,85,65,85
235,Smeargle,Normal,none,55,20,35,20,45,75
236,Tyrogue,Fighting,none,35,35,35,35,35,35
237,Hitmontop,Fighting,none,50,95,95,35,110,70
238,Smoochum,Ice,Psychic,45,30,15,85,65,65
239,Elekid,Electric,none,45,63,37,65,55,95
240,Magby,Fire,none,45,75,37,70,55,83
241,Miltank,Normal,none,95,80,105,40,70,100
242,Blissey,Normal,none,255,10,10,75,135,55
243,Raikou,Electric,none,90,85,75,115,100,115
244,Entei,Fire,none,115,115,85,90,75,100
245,Suicune,Water,none,100,75,115,90,115,85
246,Larvitar,Rock,Ground,50,64,50,45,50,41
247,Pupitar,Rock,Ground,70,84,70,65,70,51
248,Tyranitar,Rock,Dark,100,134,110,95,100,61
249,Lugia,Psychic,Flying,106,90,130,90,154,110
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90
251,Celebi,Psychic,Grass,100,100,100,100,100,100
252,Treecko,Grass,none,40,45,35,65,55,70
253,Grovyle,Grass,none,50,65,45,85,65,95
254,Sceptile,Grass,none,70,85,65,105,85,120
255,Torchic,Fire,none,45,60,40,70,50,45
256,Combusken,Fire,Fighting,60,85,60,85,60,55
257,Blaziken,Fire,Fighting,80,120,70,110,70,80
258,Mudkip,Water,none,50,70,50,50,50,40
259,Marshtomp,Water,Ground,70,85,70,60,70,50
260,Swampert,Water,Ground,100,110,90,85,90,60
261,Poochyena,Dark,none,35,55,35,30,30,35
262,Mightyena,Dark,none,70,90,70,60,60,70
263,Zigzagoon,Normal,none,38,30,41,30,41,60
264,Linoone,Normal,none,78,70,61,50,61,100
265,Wurmple,Bug,none,45,45,35,20,30,20
266,Silcoon,Bug,none,50,35,55,25,25,15
267,Beautifly,Bug,Flying,60,70,50,90,50,65
268,Cascoon,Bug,none,50,35,55,25,25,15
269,Dustox,Bug,Poison,60,50,70,50,90,65
270,Lotad,Water,Grass,40,30,30,40,50,30
271,Lombre,Water,Grass,60,50,50,60,70,50
272,Ludicolo,Water,Grass,80,70,70,90,100,70
273,Seedot,Grass,none,40,40,50,30,30,30
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60
275,Shiftry,Grass,Dark,90,100,60,90,60,80
276,Taillow,Normal,Flying,40,55,30,30,30,85
277,Swellow,Normal,Flying,60,85,60,50,50,125
278,Wingull,Water,Flying,40,30,30,55,30,85
279,Pelipper,Water,Flying,60,50,100,85,70,65
280,Ralts,Psychic,none,28,25,25,45,35,40
281,Kirlia,Psychic,none,38,35,35,65,55,50
282,Gardevoir,Psychic,none,68,65,65,125,115,80
283,Surskit,Bug,Water,40,30,32,50,52,65
284,Masquerain,Bug,Flying,70,60,62,80,82,60
285,Shroomish,Grass,none,60,40,60,40,60,35
286,Breloom,Grass,Fighting,60,130,80,60,60,70
287,Slakoth,Normal,none,60,60,60,35,35,30
288,Vigoroth,Normal,none,80,80,80,55,55,90
289,Slaking,Normal,none,150,160,100,95,65,100
290,Nincada,Bug,Ground,31,45,90,30,30,40
291,Ninjask,Bug,Flying,61,90,45,50,50,160
292,Shedinja,Bug,Ghost,1,90,45,30,30,40
293,Whismur,Normal,none,64,51,23,51,23,28
294,Loudred,Normal,none,84,71,43,71,43,48
295,Exploud,Normal,none,104,91,63,91,63,68
296,Makuhita,Fighting,none,72,60,30,20,30,25
297,Hariyama,Fighting,none,144,120,60,40,60,50
298,Azurill,Normal,none,50,20,40,20,40,20
299,Nosepass,Rock,none,30,45,135,45,90,30
300,Skitty,Normal,none,50,45,45,35,35,50
301,Delcatty,Normal,none,70,65,65,55,55,70
302,Sableye,Dark,Ghost,50,75,75,65,65,50
303,Mawile,Steel,none,50,85,85,55,55,50
304,Aron,Steel,Rock,50,70,100,40,40,30
305,Lairon,Steel,Rock,60,90,140,50,50,40
306,Aggron,Steel,Rock,70,110,180,60,60,50
307,Meditite,Fighting,Psychic,30,40,55,40,55,60
308,Medicham,Fighting,Psychic,60,60,75,60,75,80
309,Electrike,Electric,none,40,45,40,65,40,65
310,Manectric,Electric,none,70,75,60,105,60,105
311,Plusle,Electric,none,60,50,40,85,75,95
312,Minun,Electric,none,60,40,50,75,85,95
313,Volbeat,Bug,none,65,73,55,47,75,85
314,Illumise,Bug,none,65,47,55,73,75,85
315,Roselia,Grass,Poison,50,60,45,100,80,65
316,Gulpin,Poison,none,70,43,53,43,53,40
317,Swalot,Poison,none,100,73,83,73,83,55
318,Carvanha,Water,Dark,45,90,20,65,20,65
319,Sharpedo,Water,Dark,70,120,40,95,40,95
320,Wailmer,Water,none,130,70,35,70,35,60
321,Wailord,Water,none,170,90,45,90,45,60
322,Numel,Fire,Ground,60,60,40,65,45,35
323,Camerupt,Fire,Ground,70,100,70,105,75,40
324,Torkoal,Fire,none,70,85,140,85,70,20
325,Spoink,Psychic,none,60,25,35,70,80,60
326,Grumpig,Psychic,none,80,45,65,90,110,80
327,Spinda,Normal,none,60,60,60,60,60,60
328,Trapinch,Ground,none,45,100,45,45,45,10
329,Vibrava,Ground,Dragon,50,70,50,50,50,70
330,Flygon,Ground,Dragon,80,100,80,80,80,100
331,Cacnea,Grass,none,50,85,40,85,40,35
332,Cacturne,Grass,Dark,70,115,60,115,60,55
333,Swablu,Normal,Flying,45,40,60,40,75,50
334,Altaria,Dragon,Flying,75,70,90,70,105,80
335,Zangoose,Normal,none,73,115,60,60,60,90
336,Seviper,Poison,none,73,100,60,100,60,65
337,Lunatone,Rock,Psychic,70,55,65,95,85,70
338,Solrock,Rock,Psychic,70,95,85,55,65,70
339,Barboach,Water,Ground,50,48,43,46,41,60
340,Whiscash,Water,Ground,110,78,73,76,71,60
341,Corphish,Water,none,43,80,65,50,35,35
342,Crawdaunt,Water,Dark,63,120,85,90,55,55
343,Baltoy,Ground,Psychic,40,40,55,40,70,55
344,Claydol,Ground,Psychic,60,70,105,70,120,75
345,Lileep,Rock,Grass,66,41,77,61,87,23
346,Cradily,Rock,Grass,86,81,97,81,107,43
347,Anorith,Rock,Bug,45,95,50,40,50,75
348,Armaldo,Rock,Bug,75,125,100,70,80,45
349,Feebas,Water,none,20,15,20,10,55,80
350,Milotic,Water,none,95,60,79,100,125,81
351,Castform,Normal,none,70,70,70,70,70,70
352,Kecleon,Normal,none,60,90,70,60,120,40
353,Shuppet,Ghost,none,44,75,35,63,33,45
354,Banette,Ghost,none,64,115,65,83,63,65
355,Duskull,Ghost,none,20,40,90,30,90,25
356,Dusclops,Ghost,none,40,70,130,60,130,25
357,Tropius,Grass,Flying,99,68,83,72,87,51
358,Chimecho,Psychic,none,65,50,70,95,80,65
359,Absol,Dark,none,65,130,60,75,60,75
360,Wynaut,Psychic,none,95,23,48,23,48,23
361,Snorunt,Ice,none,50,50,50,50,50,50
362,Glalie,Ice,none,80,80,80,80,80,80
363,Spheal,Ice,Water,70,40,50,55,50,25
364,Sealeo,Ice,Water,90,60,70,75,70,45
365,Walrein,Ice,Water,110,80,90,95,90,65
366,Clamperl,Water,none,35,64,85,74,55,32
367,Huntail,Water,none,55,104,105,94,75,52
368,Gorebyss,Water,none,55,84,105,114,75,52
369,Relicanth,Water,Rock,100,90,130,45,65,55
370,Luvdisc,Water,none,43,30,55,40,65,97
371,Bagon,Dragon,none,45,75,60,40,30,50
372,Shelgon,Dragon,none,65,95,100,60,50,50
373,Salamence,Dragon,Flying,95,135,80,110,80,100
374,Beldum,Steel,Psychic,40,55,80,35,60,30
375,Metang,Steel,Psychic,60,75,100,55,80,50
376,Metagross,Steel,Psychic,80,135,130,95,90,70
377,Regirock,Rock,none,80,100,200,50,100,50
378,Regice,Ice,none,80,50,100,100,200,50
379,Registeel,Steel,none,80,75,150,75,150,50
380,Latias,Dragon,Psychic,80,80,90,110,130,110
381,Latios,Dragon,Psychic,80,90,80,130,110,110
382,Kyogre,Water,none,100,100,90,150,140,90
383,Groudon,Ground,none,100,150,140,100,90,90
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95
385,Jirachi,Steel,Psychic,100,100,100,100,100,100
386,Deoxys,Psychic,none,50,150,50,150,50,150
